castaway_id,season,total_challenges_competed,total_won,win_percentage
US0639,43,2,0,0
US0640,43,4,2,0.5
US0641,43,13,7,0.5384615384615384
US0642,43,18,7,0.3888888888888889
US0643,43,11,5,0.45454545454545453
US0644,43,14,4,0.2857142857142857
US0645,44,10,7,0.7
US0646,44,16,6,0.375
US0647,44,11,6,0.5454545454545454
US0648,44,17,8,0.47058823529411764
US0649,44,2,0,0
US0650,44,7,5,0.7142857142857143
US0651,44,4,3,0.75
US0652,44,14,7,0.5
US0653,44,13,10,0.7692307692307693
US0654,44,18,8,0.4444444444444444
US0655,44,8,4,0.5
US0656,44,9,7,0.7777777777777778
US0657,44,1,0,0
US0658,44,18,4,0.2222222222222222
US0659,44,18,9,0.5
US0660,44,3,1,0.3333333333333333
US0661,44,6,2,0.3333333333333333
US0662,44,18,4,0.2222222222222222
US0657,45,13,8,0.6153846153846154
US0663,45,18,11,0.6111111111111112
US0664,45,7,4,0.5714285714285714
US0665,45,3,0,0
US0666,45,18,9,0.5
US0667,45,16,8,0.5
US0668,45,14,3,0.21428571428571427
US0669,45,2,0,0
US0670,45,8,6,0.75
US0671,45,18,6,0.3333333333333333
US0672,45,17,9,0.5294117647058824
US0673,45,9,4,0.4444444444444444
US0674,45,18,7,0.3888888888888889
US0675,45,10,6,0.6
US0676,45,11,6,0.5454545454545454
US0677,45,5,1,0.2
